[Tue Sep 23 21:56:20 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:56:54 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:56:54 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:56:54 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:56:54 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:57:28 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:57:28 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:57:28 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 21:57:28 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:18:32 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: mobile_set in /var/www/kids.kinu.co.tz/includes/functions.php on line 89
[Tue Sep 23 22:18:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:18:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:18:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/assets, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:18:32 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/bower_components/jquery/distjquery.min.js, referer: http://kids.kinu.co.tz/parents.php
[Tue Sep 23 22:21:04 2014] [error] [client 127.0.0.1] PHP Notice:  Undefined variable: mobile_set in /var/www/kids.kinu.co.tz/includes/functions.php on line 97
[Tue Sep 23 22:21:04 2014] [error] [client 127.0.0.1] File does not exist: /var/www/kids.kinu.co.tz/main.css, referer: http://kids.kinu.co.tz/parents.php
